,department,brand,count,min,max,mean
838,Drinks and Snacks,CHAPARRITAS,3,10.0,10.0,10.0
839,Drinks and Snacks,CHARAMUSCA,24,36.0,184.0,85.5
840,Drinks and Snacks,CHE CHE CHE,2,41.0,41.0,41.0
841,Drinks and Snacks,CHERRY BLOSSOM,1,76.0,76.0,76.0
842,Drinks and Snacks,CHIA MIA,6,41.0,42.0,41.333333333333336
843,Drinks and Snacks,CHILCHOTA,1,62.0,62.0,62.0
844,Drinks and Snacks,CHILO GOGOS,3,58.0,67.0,62.333333333333336
845,Drinks and Snacks,CHIPS AHOY,7,143.0,143.0,143.0
846,Drinks and Snacks,CHOBANI,6,64.0,106.0,91.66666666666667
847,Drinks and Snacks,CHOCKE OBLEAS,4,33.0,246.0,127.0
848,Drinks and Snacks,CHOCOLATE,1,74.0,74.0,74.0
849,Drinks and Snacks,CHOMPYS,11,36.0,67.0,59.26363636363636
850,Drinks and Snacks,CHOPS,6,43.0,148.0,78.0
851,Drinks and Snacks,CHUPA CHUPS,10,9.0,63.0,33.8
852,Drinks and Snacks,CICATRICURE,1,361.0,361.0,361.0
853,Drinks and Snacks,CIEL,13,3.0,71.0,22.076923076923077
854,Drinks and Snacks,CIFRUT,5,5.0,25.0,15.8
855,Drinks and Snacks,CLAMATO,8,25.0,70.0,37.375
856,Drinks and Snacks,CLIGHT,7,4.0,4.0,4.0
857,Drinks and Snacks,CLORETS,3,7.0,21.0,12.666666666666666
858,Drinks and Snacks,COCA COLA,37,6.0,169.0,41.22702702702703
859,Drinks and Snacks,COCO DREAM,1,27.0,27.0,27.0
860,Drinks and Snacks,COFFEEMATE,19,26.0,98.0,49.5
861,Drinks and Snacks,COME VERDE,2,47.0,114.0,80.5
862,Drinks and Snacks,CONAIR,1,576.0,576.0,576.0
863,Drinks and Snacks,CONCCENTO,3,12.9,12.9,12.9
864,Drinks and Snacks,CONCHARRITO,1,18.0,18.0,18.0
865,Drinks and Snacks,CONFRUTTA,4,6.0,6.0,6.0
866,Drinks and Snacks,COOKIES N CREAM,1,92.0,92.0,92.0
867,Drinks and Snacks,COOL NUTS,2,29.0,50.0,39.5
868,Drinks and Snacks,CORAZZI,1,177.0,177.0,177.0
869,Drinks and Snacks,CORINA,1,37.0,37.0,37.0
870,Drinks and Snacks,CORO,1,32.9,32.9,32.9
871,Drinks and Snacks,CORONADO,2,24.0,55.0,39.5
872,Drinks and Snacks,COSECHA PURA,7,11.0,21.0,15.285714285714286
873,Drinks and Snacks,COSMETOBELLEZA,1,14.0,14.0,14.0
874,Drinks and Snacks,COVER GIRL,4,203.0,219.0,215.0
875,Drinks and Snacks,COVERGIRL,10,132.0,260.0,218.5
876,Drinks and Snacks,CREMINO,1,81.0,81.0,81.0
877,Drinks and Snacks,CRUJISANAS,3,27.0,27.0,27.0
878,Drinks and Snacks,CRUNCH,1,26.0,26.0,26.0
879,Drinks and Snacks,CRUSH,2,19.9,19.9,19.9
880,Drinks and Snacks,CUATROCIELOS,1,49.0,49.0,49.0
881,Drinks and Snacks,CUETARA,1,19.5,19.5,19.5
882,Drinks and Snacks,CUIDA - TE,3,187.0,187.0,187.0
883,Drinks and Snacks,CURTIS,1,50.9,50.9,50.9
884,Drinks and Snacks,CUSIBANI,2,101.0,124.0,112.5
885,Drinks and Snacks,CUTTER,2,73.0,96.0,84.5
886,Drinks and Snacks,CYNCHI,4,46.0,92.0,69.5
887,Drinks and Snacks,D'GARI,24,11.0,20.0,13.5
888,Drinks and Snacks,DANETTE,10,7.0,31.0,12.0
889,Drinks and Snacks,DANY,6,4.0,28.0,10.166666666666666
890,Drinks and Snacks,DARE,2,69.5,81.0,75.25
891,Drinks and Snacks,DARIER,1,132.0,132.0,132.0
892,Drinks and Snacks,DE LA ROSA,29,40.0,112.0,66.34137931034483
893,Drinks and Snacks,DE LA VIUDA,4,92.0,92.0,92.0
894,Drinks and Snacks,DE OLLA,3,127.0,128.0,127.33333333333333
895,Drinks and Snacks,DEL CIELO,2,40.5,58.0,49.25
896,Drinks and Snacks,DEL MONTE,4,24.0,27.0,24.975
897,Drinks and Snacks,DEL VALLE,42,6.0,35.0,18.39761904761905
898,Drinks and Snacks,DELICIAS DE CAFE,1,129.0,129.0,129.0
899,Drinks and Snacks,DELICIOSA,1,46.0,46.0,46.0
900,Drinks and Snacks,DELIS DE MARIA,1,72.0,72.0,72.0
901,Drinks and Snacks,DELIYUM,6,60.0,153.0,99.16666666666667
902,Drinks and Snacks,DERMO EXPERTISE,4,156.0,387.0,271.5
903,Drinks and Snacks,DESTELLOS,18,26.0,174.0,60.37777777777777
904,Drinks and Snacks,DIET RADISSON,4,65.0,116.0,84.475
905,Drinks and Snacks,DISNEY,2,46.0,51.0,48.5
906,Drinks and Snacks,DK,1,52.0,52.0,52.0
907,Drinks and Snacks,DOBLETT,7,19.5,19.5,19.5
908,Drinks and Snacks,DON BALBINO,2,192.0,287.0,239.5
909,Drinks and Snacks,DON ELIAS,3,67.5,73.0,69.33333333333333
910,Drinks and Snacks,DON JUSTO,2,165.0,165.0,165.0
911,Drinks and Snacks,DONT WORRY,5,82.0,94.5,89.3
912,Drinks and Snacks,DOVE,3,79.0,79.0,79.0
913,Drinks and Snacks,DR PEPPER,8,13.0,32.0,16.5
914,Drinks and Snacks,DR TEALS,6,94.0,135.0,121.33333333333333
915,Drinks and Snacks,DRUMS,2,31.0,33.0,32.0
916,Drinks and Snacks,DUCDO,5,112.0,195.0,165.8
917,Drinks and Snacks,DUCRAY,6,341.0,836.0,541.1666666666666
918,Drinks and Snacks,DULCEREZA,1,75.0,75.0,75.0
919,Drinks and Snacks,E PURA,8,9.0,40.0,21.6875
920,Drinks and Snacks,E-FRUTTI,1,46.0,46.0,46.0
921,Drinks and Snacks,ECO TOOLS,3,168.0,387.0,244.66666666666666
922,Drinks and Snacks,ECOFIN,1,41.0,41.0,41.0
923,Drinks and Snacks,ECONOMAX,2,20.0,25.5,22.75
924,Drinks and Snacks,EL ACICATE,7,93.5,93.5,93.5
925,Drinks and Snacks,EL ALMENDRO,7,92.0,170.0,114.28571428571429
926,Drinks and Snacks,EL MARINO,2,124.0,155.0,139.5
927,Drinks and Snacks,EL PORLO,8,74.0,144.0,115.25
928,Drinks and Snacks,EL RANCHO,3,38.0,75.0,62.0
929,Drinks and Snacks,EL REYNERO,7,51.5,134.0,104.35714285714286
930,Drinks and Snacks,ELEA MEXICO,1,336.0,336.0,336.0
931,Drinks and Snacks,ELECTROLIT,2,22.0,22.0,22.0
932,Drinks and Snacks,ELEGANT TOUCH,2,105.0,105.0,105.0
933,Drinks and Snacks,ENCANTO,9,25.0,44.0,32.333333333333336
934,Drinks and Snacks,EPSON,2,156.0,156.0,156.0
935,Drinks and Snacks,EPURITA,2,7.0,7.0,7.0
936,Drinks and Snacks,ESCOSA,1,75.0,75.0,75.0
937,Drinks and Snacks,EUCERIN,21,263.0,906.0,610.4285714285714
938,Drinks and Snacks,EVIAN,3,20.0,41.0,31.633333333333336
939,Drinks and Snacks,EXELTIS,1,186.0,186.0,186.0
940,Drinks and Snacks,EXTRAPOMA,1,14.0,14.0,14.0
941,Drinks and Snacks,EYLURE,5,104.0,104.0,104.0
942,Drinks and Snacks,F.DIAZ,5,51.0,51.0,51.0
943,Drinks and Snacks,FANTA,4,17.0,38.0,28.375
944,Drinks and Snacks,FEBREZE,2,98.0,98.0,98.0
945,Drinks and Snacks,FELIX,4,32.0,32.0,32.0
946,Drinks and Snacks,FERRERO ROCHER,18,10.0,278.0,121.4388888888889
947,Drinks and Snacks,FEVER TREE,1,241.0,241.0,241.0
948,Drinks and Snacks,FIBER COOKIES,4,20.0,49.0,39.25
949,Drinks and Snacks,FIJI,4,46.9,278.0,125.475
950,Drinks and Snacks,FISH,6,50.5,67.0,61.5
951,Drinks and Snacks,FITCHIPS,1,28.0,28.0,28.0
952,Drinks and Snacks,FIVE WRIGLEY,2,29.9,29.9,29.9
953,Drinks and Snacks,FLAVEUR,3,60.0,64.0,61.333333333333336
954,Drinks and Snacks,FLORIDA 7,9,5.0,15.0,11.11111111111111
955,Drinks and Snacks,FLUOXYTIL,1,190.0,190.0,190.0
956,Drinks and Snacks,FOLGERS,4,37.0,567.0,208.5
957,Drinks and Snacks,FOOD NEWS IS GO,6,20.0,74.9,38.300000000000004
958,Drinks and Snacks,FOOD NEWS IS GOOD NEWS,2,24.0,24.0,24.0
959,Drinks and Snacks,FRANKLIN AND SONS,3,52.5,52.5,52.5
960,Drinks and Snacks,FRESCA,3,17.0,35.0,25.166666666666668
961,Drinks and Snacks,FRESKAS,1,17.5,17.5,17.5
962,Drinks and Snacks,FRU TO GO,1,36.0,36.0,36.0
963,Drinks and Snacks,FRUBOTANAS,2,117.0,117.0,117.0
964,Drinks and Snacks,FRUCRISA,6,16.0,205.0,81.91666666666667
965,Drinks and Snacks,FRUIT,1,41.0,41.0,41.0
966,Drinks and Snacks,FRUNCHPOP,2,143.0,143.0,143.0
967,Drinks and Snacks,FRUTOS DE VIDA,6,29.0,31.0,30.666666666666668
968,Drinks and Snacks,FRUTSI,3,5.0,5.0,5.0
969,Drinks and Snacks,FRUTTE,2,58.0,58.0,58.0
970,Drinks and Snacks,FUENSANTA,2,29.0,39.0,34.0
971,Drinks and Snacks,FUZE TEA,10,12.0,36.0,21.0
972,Drinks and Snacks,G ACTIVE,3,12.9,21.0,15.6
973,Drinks and Snacks,GABI,2,12.0,12.0,12.0
974,Drinks and Snacks,GAMESA,43,5.0,68.9,35.43488372093023
975,Drinks and Snacks,GARAT,16,82.9,234.0,119.4875
976,Drinks and Snacks,GARCI CRESPO,2,17.5,33.0,25.25
977,Drinks and Snacks,GATORADE,28,12.0,122.0,30.428571428571427
978,Drinks and Snacks,GAVETI,2,50.0,52.0,51.0
979,Drinks and Snacks,GENOMMA,13,21.0,286.0,78.38461538461539
980,Drinks and Snacks,GHIRARDELLI,1,105.0,105.0,105.0
981,Drinks and Snacks,GILA,17,111.0,266.0,153.23529411764707
982,Drinks and Snacks,GLADE,5,53.0,182.0,98.2
983,Drinks and Snacks,GOLD PEAK,1,62.0,62.0,62.0
984,Drinks and Snacks,GOLDEN BEAN,2,86.0,86.0,86.0
985,Drinks and Snacks,GOLIN,1,81.0,81.0,81.0
986,Drinks and Snacks,GOLONES,2,18.0,18.0,18.0
987,Drinks and Snacks,GOOD BELLY,3,82.0,82.0,82.0
988,Drinks and Snacks,GOOD THINS,2,133.0,133.0,133.0
989,Drinks and Snacks,GRAN ALPINA,1,51.0,51.0,51.0
990,Drinks and Snacks,GREAT DAY,2,32.0,41.9,36.95
991,Drinks and Snacks,GREENSIDE,2,40.0,209.0,124.5
992,Drinks and Snacks,GREZON,5,20.0,23.0,22.2
993,Drinks and Snacks,GRISI,1,54.0,54.0,54.0
994,Drinks and Snacks,GRISI HNOS,5,76.0,175.0,115.6
995,Drinks and Snacks,GRUN CHOICE,5,42.5,58.0,45.6
996,Drinks and Snacks,GTC,14,33.0,407.0,90.12857142857142
997,Drinks and Snacks,GUAYABA,1,37.0,37.0,37.0
998,Drinks and Snacks,GUDU POP,1,51.0,51.0,51.0
999,Drinks and Snacks,GULLON,2,74.0,89.5,81.75
1000,Drinks and Snacks,GUSANO,2,9.0,71.0,40.0
1001,Drinks and Snacks,H-24,1,64.0,64.0,64.0
1002,Drinks and Snacks,HALLS,6,9.0,9.0,9.0
1003,Drinks and Snacks,HARIBO,4,67.0,67.0,67.0
1004,Drinks and Snacks,HATSU,9,39.0,39.0,39.0
1005,Drinks and Snacks,HCE,1,62.9,62.9,62.9
1006,Drinks and Snacks,HCF,172,6.0,143.0,36.81686046511628
1007,Drinks and Snacks,HEATH & HEATHER,3,71.0,71.0,71.0
1008,Drinks and Snacks,HEB,320,12.0,411.0,64.091875
1009,Drinks and Snacks,HEB FRESH,7,13.0,66.9,34.114285714285714
1010,Drinks and Snacks,HEB ORGANICS,11,77.9,197.0,113.30909090909091
1011,Drinks and Snacks,HECHO A MANO,1,67.5,67.5,67.5
1012,Drinks and Snacks,HELENTROY,1,60.0,60.0,60.0
1013,Drinks and Snacks,HERDEZ,2,12.0,12.9,12.45
1014,Drinks and Snacks,HERSHEY'S,34,11.0,215.0,63.438235294117646
1015,Drinks and Snacks,HERSHEYS,2,11.0,92.0,51.5
1016,Drinks and Snacks,HOLIBLEND,3,25.9,54.0,35.266666666666666
1017,Drinks and Snacks,HORMONA,1,89.0,89.0,89.0
1018,Drinks and Snacks,HOUSE BLEND,2,72.0,78.0,75.0
1019,Drinks and Snacks,HUBBA BUBBA,5,25.0,26.0,25.4
1020,Drinks and Snacks,IAMARANTH,9,39.0,78.0,51.77777777777778
1021,Drinks and Snacks,ICE BREAKERS,1,30.9,30.9,30.9
1022,Drinks and Snacks,IFA,1,467.0,467.0,467.0
1023,Drinks and Snacks,ILLY,4,163.0,364.0,313.75
1024,Drinks and Snacks,IM,11,12.5,25.0,15.863636363636363
1025,Drinks and Snacks,IMPERIAL,7,36.0,71.0,54.5
1026,Drinks and Snacks,INDY,1,40.0,40.0,40.0
1027,Drinks and Snacks,INTERNACIONAL,3,93.0,204.0,130.66666666666666
1028,Drinks and Snacks,ISDIN,4,357.0,855.0,556.0
1029,Drinks and Snacks,ISLA BLANCA,7,21.0,39.0,33.0
1030,Drinks and Snacks,ITALMEX,1,289.0,289.0,289.0
1031,Drinks and Snacks,JACK LINK´S,6,23.0,81.0,48.0
1032,Drinks and Snacks,JACOBS,6,43.0,126.0,66.66666666666667
1033,Drinks and Snacks,JANSSEN,1,168.0,168.0,168.0
1034,Drinks and Snacks,JARRITOS,2,22.0,22.0,22.0
1035,Drinks and Snacks,JASA,4,95.0,143.0,120.0
1036,Drinks and Snacks,JELLO,14,12.0,12.9,12.321428571428571
1037,Drinks and Snacks,JERGENS,3,74.5,74.5,74.5
1038,Drinks and Snacks,JOLLY RANCHER,7,8.0,143.0,87.28571428571429
1039,Drinks and Snacks,JOYA,12,17.0,38.0,25.291666666666668
1040,Drinks and Snacks,JUAN VALDEZ,9,124.0,226.0,144.44444444444446
1041,Drinks and Snacks,JUGEN,4,24.0,27.0,24.75
1042,Drinks and Snacks,JUICYFRUIT,1,23.0,23.0,23.0
1043,Drinks and Snacks,JUMEX,42,5.0,41.0,22.885714285714286
1044,Drinks and Snacks,JUMEX FRESH,6,12.0,29.9,17.983333333333334
1045,Drinks and Snacks,JUSLAB,4,22.0,46.0,34.0
1046,Drinks and Snacks,JUST ABOUT FOOD,1,78.0,78.0,78.0
1047,Drinks and Snacks,KAAPEH,2,47.0,78.0,62.5
1048,Drinks and Snacks,KACANG,1,23.0,23.0,23.0
1049,Drinks and Snacks,KALAN,16,44.0,44.0,44.0
1050,Drinks and Snacks,KALI,6,67.0,221.0,174.83333333333334
1051,Drinks and Snacks,KASS,1,161.0,161.0,161.0
1052,Drinks and Snacks,KEKUA,8,46.0,92.0,78.125
1053,Drinks and Snacks,KERMATO,2,35.5,59.0,47.25
1054,Drinks and Snacks,KERNEL SEASON,1,58.0,58.0,58.0
1055,Drinks and Snacks,KERNEL SEASON'S,1,58.0,58.0,58.0
1056,Drinks and Snacks,KIKAPOO,4,25.0,46.9,31.475
1057,Drinks and Snacks,KIKAPU,3,105.0,152.0,134.0
1058,Drinks and Snacks,KINDER,7,8.0,130.0,41.857142857142854
1059,Drinks and Snacks,KINDER DELICE,1,59.0,59.0,59.0
1060,Drinks and Snacks,KINDER SORPRESA,10,26.0,46.0,31.9
1061,Drinks and Snacks,KISSES,22,37.0,210.0,80.77272727272727
1062,Drinks and Snacks,KIT KAT,4,16.5,30.9,23.85
1063,Drinks and Snacks,KOOL-AID,1,172.0,172.0,172.0
1064,Drinks and Snacks,LA CASA DEL JUGO,14,23.0,60.0,44.07142857142857
1065,Drinks and Snacks,LA CORONA,1,112.0,112.0,112.0
1066,Drinks and Snacks,LA FAMA,2,149.0,371.0,260.0
1067,Drinks and Snacks,LA FINCA,2,85.0,94.0,89.5
1068,Drinks and Snacks,LA FUENTE,2,20.0,308.0,164.0
1069,Drinks and Snacks,LA MICHOACANA,1,20.0,20.0,20.0
1070,Drinks and Snacks,LA OLIVA,9,11.0,41.0,22.733333333333334
1071,Drinks and Snacks,LA ORQUIDEA,3,37.0,51.0,43.0
1072,Drinks and Snacks,LA PALOMERA,3,33.9,81.0,52.96666666666667
1073,Drinks and Snacks,LA PANZANELLA,1,99.0,99.0,99.0
1074,Drinks and Snacks,LA PASTORA,6,17.0,27.0,22.333333333333332
1075,Drinks and Snacks,LA ROCHE POSAY,12,203.0,1090.0,583.8333333333334
1076,Drinks and Snacks,LA VAQUITA,5,62.0,133.0,78.9
1077,Drinks and Snacks,LA VIUDA,1,57.0,57.0,57.0
1078,Drinks and Snacks,LADY BSTN BOSTO,1,44.0,44.0,44.0
1079,Drinks and Snacks,LALA,8,6.0,31.0,14.75
1080,Drinks and Snacks,LAS DELICIAS,5,20.5,160.0,72.1
1081,Drinks and Snacks,LAS ESPUELAS,6,43.0,301.0,160.33333333333334
1082,Drinks and Snacks,LAS MORALES,1,109.0,109.0,109.0
1083,Drinks and Snacks,LAS SEVILLANAS,12,10.0,87.5,54.99166666666667
1084,Drinks and Snacks,LAS TARASQUITAS,1,16.0,16.0,16.0
1085,Drinks and Snacks,LAVAZZA,4,171.0,252.0,231.75
1086,Drinks and Snacks,LECLERC,4,92.0,96.0,94.0
1087,Drinks and Snacks,LEIBNIZ,1,124.0,124.0,124.0
1088,Drinks and Snacks,LEO,6,20.0,43.0,26.333333333333332
1089,Drinks and Snacks,LEON,1,28.0,28.0,28.0
1090,Drinks and Snacks,LIBANIUS,8,36.0,125.0,74.3125
1091,Drinks and Snacks,LILLY,1,877.0,877.0,877.0
1092,Drinks and Snacks,LINARES,17,10.0,205.0,79.52941176470588
1093,Drinks and Snacks,LINDT,15,33.0,226.0,103.56666666666666
1094,Drinks and Snacks,LIOFILIZZA,7,51.9,145.0,105.10000000000001
1095,Drinks and Snacks,LIPTON,8,14.0,302.0,107.25
1096,Drinks and Snacks,LITTLE DEBBIE,10,70.0,77.9,75.83000000000001
1097,Drinks and Snacks,LIVEAN,4,4.0,4.0,4.0
1098,Drinks and Snacks,LOACKER,5,56.5,56.5,56.5
1099,Drinks and Snacks,LOMA BLANCA,3,53.0,231.0,171.66666666666666
1100,Drinks and Snacks,LOMECAN-V,2,56.0,83.9,69.95
1101,Drinks and Snacks,LONE STAR,1,196.0,196.0,196.0
1102,Drinks and Snacks,LOREAL,15,172.0,311.0,238.4
1103,Drinks and Snacks,LOS FRESNOS,2,46.0,91.0,68.5
1104,Drinks and Snacks,LOS PORTALES,8,44.0,142.0,93.625
1105,Drinks and Snacks,LUBRIDERM,1,114.0,114.0,114.0
1106,Drinks and Snacks,LUCAS,1,9.0,9.0,9.0
1107,Drinks and Snacks,LUCKY,3,13.0,13.0,13.0
1108,Drinks and Snacks,LUXUS,1,77.0,77.0,77.0
1109,Drinks and Snacks,M&M,13,19.0,92.0,47.66923076923077
1110,Drinks and Snacks,MAC  MA,4,35.5,35.5,35.5
1111,Drinks and Snacks,MAC MA,1,79.0,79.0,79.0
1112,Drinks and Snacks,MACS,1,134.0,134.0,134.0
1113,Drinks and Snacks,MAIZINES,4,11.0,11.0,11.0
1114,Drinks and Snacks,MALABAR,5,38.0,81.0,59.4
1115,Drinks and Snacks,MANASUR,4,30.0,34.5,31.125
1116,Drinks and Snacks,MANZANITA SOL,5,9.0,49.0,26.3
1117,Drinks and Snacks,MARBU,1,17.0,17.0,17.0
1118,Drinks and Snacks,MARCAS DE RENOMBRE,2,176.0,176.0,176.0
1119,Drinks and Snacks,MARETTI,4,14.0,25.0,19.5
1120,Drinks and Snacks,MARIA BONITA,15,43.0,162.0,89.32
1121,Drinks and Snacks,MARIAN,2,53.5,176.0,114.75
1122,Drinks and Snacks,MARINDOS,9,20.5,72.0,38.55555555555556
1123,Drinks and Snacks,MARINELA,25,17.0,50.9,32.808
1124,Drinks and Snacks,MARVIL,5,90.0,101.0,98.8
1125,Drinks and Snacks,MARY'S GONE CRA,6,207.0,207.0,207.0
1126,Drinks and Snacks,MASQUE BAR,1,189.0,189.0,189.0
1127,Drinks and Snacks,MATHURA,3,126.0,126.0,126.0
1128,Drinks and Snacks,MAX CONTROL,1,118.0,118.0,118.0
1129,Drinks and Snacks,MAYBELLINE,19,172.0,240.0,211.21052631578948
1130,Drinks and Snacks,MC CORMICK,6,31.0,47.9,38.31666666666667
1131,Drinks and Snacks,MCCORMICK,17,22.0,208.0,59.88235294117647
1132,Drinks and Snacks,MDR PHARMA,1,156.0,156.0,156.0
1133,Drinks and Snacks,MEDIX,2,131.0,182.0,156.5
1134,Drinks and Snacks,MEGA LIMON,1,22.0,22.0,22.0
1135,Drinks and Snacks,MELBA,2,69.5,69.5,69.5
1136,Drinks and Snacks,MERCK,2,476.0,621.0,548.5
1137,Drinks and Snacks,MEXICANO,1,168.0,168.0,168.0
1138,Drinks and Snacks,MG TONICA,1,50.5,50.5,50.5
1139,Drinks and Snacks,MI TIENDA,8,15.0,61.0,35.8125
1140,Drinks and Snacks,MIGUELITO,3,20.0,29.9,25.3
1141,Drinks and Snacks,MIKELS,1,156.0,156.0,156.0
1142,Drinks and Snacks,MILCH,2,14.0,14.0,14.0
1143,Drinks and Snacks,MILKA,9,71.0,246.0,126.88888888888889
1144,Drinks and Snacks,MILKY WAY,6,11.0,157.0,42.81666666666666
1145,Drinks and Snacks,MILTONS,2,108.0,108.0,108.0
1146,Drinks and Snacks,MINUTE MAID,4,66.0,93.0,72.75
1147,Drinks and Snacks,MIRINDA,5,9.0,49.0,30.7
1148,Drinks and Snacks,MISURA,15,19.0,67.0,37.13333333333333
1149,Drinks and Snacks,MIXO´CLOCK,2,38.0,38.0,38.0
1150,Drinks and Snacks,MON AMARANTO,6,132.0,132.0,132.0
1151,Drinks and Snacks,MONSTER,3,38.0,38.0,38.0
1152,Drinks and Snacks,MONTES,4,17.5,61.0,36.125
1153,Drinks and Snacks,MUECAS,6,9.0,71.0,36.666666666666664
1154,Drinks and Snacks,MUMBAI,4,39.0,43.0,41.0
1155,Drinks and Snacks,Michelin,4,62.0,104.0,77.75
1156,Drinks and Snacks,NABISCO,12,12.0,59.0,32.13333333333333
1157,Drinks and Snacks,NADRO,1,94.0,94.0,94.0
1158,Drinks and Snacks,NATURA,14,7.0,46.0,22.87142857142857
1159,Drinks and Snacks,NATURAL ES,4,14.0,140.0,80.0
1160,Drinks and Snacks,NATURAL GOOD SH,3,21.0,21.0,21.0
1161,Drinks and Snacks,NATURE ORIGINS,1,22.0,22.0,22.0
1162,Drinks and Snacks,NATURES FACTORY,16,10.0,29.9,19.95
1163,Drinks and Snacks,NATURES HEART,25,19.5,500.0,84.488
1164,Drinks and Snacks,NERDS,1,61.0,61.0,61.0
1165,Drinks and Snacks,NESCAFE,42,34.5,164.0,116.3952380952381
1166,Drinks and Snacks,NESTEA,1,10.0,10.0,10.0
1167,Drinks and Snacks,NESTLE,17,5.0,79.0,37.2764705882353
1168,Drinks and Snacks,NESTLÉ,11,38.0,160.0,137.72727272727272
1169,Drinks and Snacks,NEUTROGENA,3,110.0,227.0,166.66666666666666
1170,Drinks and Snacks,NEW LIFE,1,235.0,235.0,235.0
1171,Drinks and Snacks,NIAGARA,1,20.0,20.0,20.0
1172,Drinks and Snacks,NIVEA,3,72.5,97.0,86.83333333333333
1173,Drinks and Snacks,NOCHIOLA,13,24.0,72.0,54.84615384615385
1174,Drinks and Snacks,NOPALIA,9,16.5,31.9,22.577777777777776
1175,Drinks and Snacks,NOPALINAZA,1,66.0,66.0,66.0
1176,Drinks and Snacks,NOVALIV,8,15.0,137.0,41.0
1177,Drinks and Snacks,NOVONORDISK,1,49.0,49.0,49.0
1178,Drinks and Snacks,NUCITA,1,29.9,29.9,29.9
1179,Drinks and Snacks,NUTRIRANTO,4,31.0,44.0,34.25
1180,Drinks and Snacks,NUTRIWELL,2,15.0,15.0,15.0
1181,Drinks and Snacks,OBELA HUMMUS,7,46.0,79.0,57.41428571428571
1182,Drinks and Snacks,OCEAN SPRAY,7,28.0,28.0,28.0
1183,Drinks and Snacks,OCEANO,1,245.0,245.0,245.0
1184,Drinks and Snacks,OFF,3,110.0,129.0,121.66666666666667
1185,Drinks and Snacks,OK CORRAL,11,48.9,285.0,158.98181818181817
1186,Drinks and Snacks,OKF,5,29.9,41.0,35.54
1187,Drinks and Snacks,OKKO,4,18.0,83.0,38.7
1188,Drinks and Snacks,OLOREX,1,91.9,91.9,91.9
1189,Drinks and Snacks,ORANGE CRUSH,2,15.0,27.0,21.0
1190,Drinks and Snacks,ORBIT,5,10.0,29.9,19.18
1191,Drinks and Snacks,OREO,15,18.0,180.0,79.66666666666667
1192,Drinks and Snacks,ORGANICA Y SALUDABLE,5,33.0,37.0,35.4
1193,Drinks and Snacks,ORGANICOS MONTERREY,2,62.0,104.0,83.0
1194,Drinks and Snacks,ORGANIX,1,167.0,167.0,167.0
1195,Drinks and Snacks,ORO,4,48.9,98.0,71.225
1196,Drinks and Snacks,OSO,1,32.0,32.0,32.0
1197,Drinks and Snacks,OSRAM,1,98.9,98.9,98.9
1198,Drinks and Snacks,OTREE,2,58.0,58.0,58.0
1199,Drinks and Snacks,PALMERS,1,80.0,80.0,80.0
1200,Drinks and Snacks,PANZON,1,9.0,9.0,9.0
1201,Drinks and Snacks,PARASOL,3,21.0,21.0,21.0
1202,Drinks and Snacks,PARLE,4,15.0,27.0,18.0
1203,Drinks and Snacks,PAU PAU,2,5.0,27.0,16.0
1204,Drinks and Snacks,PELON PELO RICO,5,10.0,53.5,26.0
1205,Drinks and Snacks,PELONETA,2,79.0,79.0,79.0
1206,Drinks and Snacks,PELONETES,2,9.0,35.5,22.25
1207,Drinks and Snacks,PEPSI,20,6.0,52.0,23.95
1208,Drinks and Snacks,PERIODENTYL,1,196.0,196.0,196.0
1209,Drinks and Snacks,PERRIER,6,24.0,133.0,49.15
1210,Drinks and Snacks,PEZ,2,56.0,80.0,68.0
1211,Drinks and Snacks,PEÑAFIEL,45,11.0,30.5,20.086666666666666
1212,Drinks and Snacks,PFIZER,2,302.0,336.0,319.0
1213,Drinks and Snacks,PFIZER PBG,2,399.0,459.0,429.0
1214,Drinks and Snacks,PHITEN,1,24.0,24.0,24.0
1215,Drinks and Snacks,PIPORE,2,97.0,97.0,97.0
1216,Drinks and Snacks,PIRUHAN,3,20.0,33.0,28.666666666666668
1217,Drinks and Snacks,PISA,14,20.0,31.0,22.857142857142858
1218,Drinks and Snacks,PISTELLA,1,184.0,184.0,184.0
1219,Drinks and Snacks,PLACER SIN CULPA,1,25.9,25.9,25.9
1220,Drinks and Snacks,PLAMESI,6,14.0,26.0,22.666666666666668
1221,Drinks and Snacks,POCARI SWEAT,1,24.0,24.0,24.0
1222,Drinks and Snacks,POKLES,2,24.0,24.0,24.0
1223,Drinks and Snacks,POKY,4,4.0,22.0,8.5
1224,Drinks and Snacks,POMADA-CAMPANA,1,56.0,56.0,56.0
1225,Drinks and Snacks,PONDS,9,27.5,134.0,90.6
1226,Drinks and Snacks,POWER UP,1,249.0,249.0,249.0
1227,Drinks and Snacks,POWERADE,15,17.0,25.0,20.666666666666668
1228,Drinks and Snacks,PREMIER,3,44.0,92.0,72.66666666666667
1229,Drinks and Snacks,PRETZEL CRISPS,1,51.0,51.0,51.0
1230,Drinks and Snacks,PRINCESA,3,40.0,40.0,40.0
1231,Drinks and Snacks,PRINGLES,6,22.0,47.9,43.583333333333336
1232,Drinks and Snacks,PROD FCEUT,1,89.0,89.0,89.0
1233,Drinks and Snacks,PRODUMSA,8,20.0,108.0,62.5
1234,Drinks and Snacks,PROFOOT,3,126.0,240.0,192.0
