Product_Id,title,price,brand,department,store,date
1770976,Pan de Barra Blanco Grande 680 gr,$44.00,BIMBO,Abarrotes,HEB,05/07/2022
1836640,Frijoles Refritos Bayos 400 gr,$15.90,ISADORA,Abarrotes,HEB,05/07/2022
2573707,Nutrioli Aceite de Soya 850 ml,$45.50,NUTRIOLI,Abarrotes,HEB,05/07/2022
1743463,Aceite Vegetal 1 lt,$43.90,ACEITE 123,Abarrotes,HEB,05/07/2022
1690573,Pan de Barra Frances Tostado 567 gr,$53.50,HEB,Abarrotes,HEB,05/07/2022
1652269,Arroz Super Extra 900 gr,$36.90,VERDE VALLE,Abarrotes,HEB,05/07/2022
1650253,Aceite Vegetal Puro de Canola 946 ml,$45.00,CANOIL,Abarrotes,HEB,05/07/2022
1703479,Pan de Barra Blanco Grano Entero 567 gr,$46.00,HEB,Abarrotes,HEB,05/07/2022
1770013,Pan de Barra con Trigo sin Corteza 354 gr,$62.00,HEB,Abarrotes,HEB,05/07/2022
1703476,Pan de Barra Trigo Entero con Miel 680 gr,$46.00,HEB ESSENTIAL GRAINS,Abarrotes,HEB,05/07/2022
2101858,Galleta Oreo Regular 273.6 gr,$33.00,NABISCO,Abarrotes,HEB,05/07/2022
1836646,Frijoles Refritos Peruanos 400 gr,$15.90,ISADORA,Abarrotes,HEB,05/07/2022
1641658,Atun en Agua Solido de Lomo 140 gr,$39.00,DOLORES,Abarrotes,HEB,05/07/2022
1786777,Aceite Puro de Canola 840 ml,$59.90,CAPULLO,Abarrotes,HEB,05/07/2022
1646848,Atun en Aceite 130 gr,$26.00,DOLORES,Abarrotes,HEB,05/07/2022
1790107,Pan Cero Cero 567 gr,$53.00,BIMBO,Abarrotes,HEB,05/07/2022
1732693,Elote en Lata 220 gr,$11.00,LA COSTEÑA,Abarrotes,HEB,05/07/2022
2355946,Galletas Saladitas 504g 504 gr,$56.00,GAMESA,Abarrotes,HEB,05/07/2022
1653397,Galletas Marias Overwrap 510 gr 3 pz,$45.00,GAMESA,Abarrotes,HEB,05/07/2022
1770580,Pan para Hot Dog 340 gr,$39.00,BIMBO,Abarrotes,HEB,05/07/2022
1639741,Aceite Vegetal Comestible 900 ml,$39.90,KARTAMUS,Abarrotes,HEB,05/07/2022
1628959,Galletas Mamut 240 gr,$40.00,GAMESA,Abarrotes,HEB,05/07/2022
1791079,Harina Hot Cakes Tradicionales 850 gr,$41.00,GAMESA,Abarrotes,HEB,05/07/2022
1783168,Manteca Vegetal 1 kg,$60.90,LIRIO,Abarrotes,HEB,05/07/2022
1637014,Jugo Naranja 1 lt,$26.00,NATURAL ES,Abarrotes,HEB,05/07/2022
1684834,Atun Agua 295 gr,$53.00,DOLORES,Abarrotes,HEB,05/07/2022
1743898,Atun en Agua Pouch 75 gr,$18.50,TUNY,Abarrotes,HEB,05/07/2022
1632217,Frijoles Pintos 425 gr,$22.90,RANCH STYLE,Abarrotes,HEB,05/07/2022
